Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0,0,0.238095238,0,0,0,0,0.19047619,0,0.19047619,0.19047619,0.19047619,0,0,0,0,0,0,0,0,0,0,BCC,487,6.117619363,1.169136543,-13.42403624,0.122978899,6.999999984,13.34553279,1375.314283,1.367271477,0.380232797,1.509047617
0,0,0,0,0.238095238,0,0,0,0,0.19047619,0,0.19047619,0.19047619,0.19047619,0,0,0,0,0,0,0,0,0,0,BCC,499,6.117619363,1.169136543,-13.42403624,0.122978899,6.999999984,13.34553279,1375.314283,1.367271477,0.380232797,1.509047617
0,0,0,0,0.272727273,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC,484,6.364565805,1.168769678,-14.28099176,0.124688041,6.818181825,13.25463943,1342.814547,1.246308585,0.405374203,1.577272729
0,0,0,0,0.272727273,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC,517,6.364565805,1.168769678,-14.28099176,0.124688041,6.818181825,13.25463943,1342.814547,1.246308585,0.405374203,1.577272729
0,0,0,0,0.272727273,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC,402,6.364565805,1.168769678,-14.28099176,0.124688041,6.818181825,13.25463943,1342.814547,1.246308585,0.405374203,1.577272729
0,0,0,0,0.333333333,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC,509,6.678014893,1.168132234,-15.44444446,0.126622799,6.50000001,12.97646836,1285.940002,1.08045063,0.446833133,1.696666667
0,0,0,0,0.333333333,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC,512,6.678014893,1.168132234,-15.44444446,0.126622799,6.50000001,12.97646836,1285.940002,1.08045063,0.446833133,1.696666667
0,0,0,0,0.333333333,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC,432,6.678014893,1.168132234,-15.44444446,0.126622799,6.50000001,12.97646836,1285.940002,1.08045063,0.446833133,1.696666667
0,0,0,0,0.384615385,0,0,0,0,0.153846154,0,0.153846154,0.153846154,0.153846154,0,0,0,0,0,0,0,0,0,0,BCC,487,6.841679614,1.167597349,-16.09467459,0.127246674,6.230769237,12.63285037,1237.815386,0.971572086,0.479699753,1.797692309
0,0,0,0,0.428571429,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,BCC,506,6.916236849,1.167142114,-16.4081633,0.127054544,6.000000006,12.26446685,1196.565715,0.894386549,0.506342303,1.884285716
0,0,0.019607843,0,0.196078431,0,0,0,0,0.196078431,0,0.196078431,0.196078431,0.196078431,0,0,0,0,0,0,0,0,0,0,BCC + Im,,8.009933434,1.8451466,-15.34794302,0.160336535,7.137254888,13.92164696,1453.003918,1.317975155,0.378731374,1.482745095
0,0,0.038461538,0,0.192307692,0,0,0,0,0.192307692,0,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0,0,0,0,0,BCC + Im,,9.668804685,1.848917748,-18.13609455,0.189783432,7.076923064,14.22238786,1493.330765,1.171075133,0.404367197,1.529615381
0,0,0.056603774,0,0.188679245,0,0,0,0,0.188679245,0,0.188679245,0.188679245,0.188679245,0,0,0,0,0,0,0,0,0,0,BCC + Im,,11.01996944,1.852583228,-20.7048772,0.213397812,7.018867916,14.43271169,1532.135849,1.068003193,0.428375222,1.574716981
